선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
이민호,LG,4,4,0,0,0,20,16,97.2,6.17,4.05,0.46,0.291,72.3,3.69,4.48,4.59,1.59,2.9
유희관,두산,10,11,0,0,0,27,27,136.1,3.7,2.57,0.92,0.351,66.4,5.02,4.9,5.12,1.51,1.51
김재윤,KT,5,3,21,1,7,56,0,60.2,8.6,2.23,1.04,0.325,80.4,3.26,3.74,3.44,1.51,2.45
정우람,한화,3,5,16,0,3,50,0,54.1,8.78,1.99,0.66,0.355,66.3,4.8,3.44,3.2,1.42,1.26
노경은,롯데,5,10,0,0,0,25,24,133.0,5.21,2.71,1.29,0.279,68.2,4.87,5.18,5.27,1.4,2.93
이승호,Hero,6,6,0,0,0,24,23,118.2,5.54,3.03,1.14,0.308,67.9,5.08,5.11,5.2,1.39,2.48
이승헌,롯데,3,2,0,0,0,8,8,36.2,8.35,2.7,0.25,0.311,48.2,4.66,3.04,2.83,1.38,0.57
고우석,LG,0,4,17,1,4,40,0,41.2,11.02,4.1,0.43,0.327,65.2,4.1,3.17,2.78,1.36,1.71
강재민,한화,1,2,1,14,2,50,0,49.0,10.47,3.31,0.55,0.311,78.5,2.57,3.07,2.65,1.3,1.72
이승진,두산,2,4,0,5,1,33,5,51.1,9.47,3.86,0.53,0.359,61.5,5.61,3.55,3.29,1.28,1.07
박준표,KIA,7,1,6,11,5,50,0,51.2,7.66,1.22,0.52,0.257,73.1,1.57,2.9,2.63,1.26,2.35
배제성,KT,10,7,0,0,0,26,26,141.1,5.29,4.84,0.76,0.268,74.0,3.95,5.18,5.38,1.25,4.75
핀토,SK,6,15,0,0,0,30,30,162.0,6.22,5.0,1.06,0.336,65.3,6.17,5.51,5.65,1.23,1.55
김진성,NC,3,0,0,6,1,48,0,47.1,10.65,1.9,0.76,0.311,77.1,2.66,2.86,2.36,1.2,1.59
김영규,NC,2,2,0,1,0,20,13,67.2,7.32,1.86,1.6,0.335,63.3,5.45,4.94,4.81,1.19,0.92
전상현,KIA,2,2,15,13,2,47,0,47.2,12.08,4.15,0.76,0.295,70.0,2.45,3.35,2.84,1.11,1.07
오승환,삼성,3,2,18,2,4,45,0,47.2,7.36,2.83,0.38,0.302,80.8,2.64,3.53,3.43,1.08,2.24
진해수,LG,4,2,0,22,4,76,0,50.0,10.62,4.14,0.54,0.367,70.3,4.32,3.47,3.14,1.08,0.33
최원태,Hero,7,6,0,0,0,21,21,110.0,5.48,3.03,1.31,0.285,66.6,5.07,5.37,5.48,1.07,1.75
이민우,KIA,6,10,0,0,0,22,22,106.0,5.69,3.99,0.93,0.336,57.0,6.79,5.14,5.28,1.02,-0.18
원태인,삼성,6,10,0,0,0,27,26,140.0,5.01,3.6,1.22,0.308,70.8,4.89,5.47,5.63,1.02,2.84
김태훈,Hero,7,0,0,10,2,53,2,64.0,5.62,3.09,0.14,0.33,65.9,4.22,3.73,3.82,0.98,0.93
김민규,두산,1,2,1,0,1,29,4,53.1,9.11,3.71,0.51,0.299,61.9,4.89,3.55,3.33,0.97,1.2
박진형,롯데,1,4,0,17,3,53,0,42.2,10.55,2.74,1.48,0.412,72.8,5.7,4.4,4.03,0.93,0.54
채드벨,한화,2,8,0,0,0,16,16,77.0,7.13,4.09,1.17,0.325,64.0,5.96,5.18,5.19,0.88,0.89
장민재,한화,2,7,0,0,0,24,10,57.1,5.02,2.04,0.78,0.377,60.6,6.75,4.36,4.44,0.85,-0.01
원종현,NC,3,5,30,0,6,58,0,57.0,6.47,3.16,0.63,0.301,66.3,4.26,4.13,4.12,0.85,1.67
임정호,NC,2,2,0,22,0,69,0,41.0,8.34,4.39,0.66,0.276,65.7,4.61,4.63,4.62,0.85,1.76
