"player_id","playerName","teamName","G","TPA","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","K","SB","BBK","BABIP","AVG","OBP","SLG","OPS","RC","RC27","wRC","wOBA","oWAR"
1763,"손호영","LG",8,12,10,1,1,0,0,0,2,0,1,0,2,0,0.5,0.125,0.1,0.25,0.1,0.35,0.38,1.14,0.04,0.207,-0.1
1919,"김건형","KT",11,39,33,7,6,1,0,0,4,0,6,1,6,1,1,0.259,0.212,0.333,0.242,0.575,3.27,3.395769,2.73,0.28,-0.11
1895,"박정우","KIA",32,61,48,9,8,1,0,0,3,4,10,0,8,0,1.25,0.225,0.188,0.35,0.208,0.558,3.8,2.331818,5.32,0.299,-0.11
931,"강민국","KT",18,50,45,11,9,2,0,0,2,4,3,0,6,0,0.5,0.282,0.244,0.292,0.289,0.581,3.79,2.8425,3.19,0.273,-0.12
1793,"김수환","Hero",13,44,41,9,5,2,0,2,5,5,2,0,17,0,0.118,0.304,0.22,0.25,0.415,0.665,3.71,2.862,3.33,0.286,-0.12
1336,"안익훈","LG",47,16,14,2,1,1,0,0,4,1,0,0,2,0,0,0.167,0.143,0.25,0.214,0.464,0.66,1.370769,0.46,0.235,-0.12
1930,"권혁경","KIA",5,18,18,4,4,0,0,0,1,0,0,0,6,0,0,0.333,0.222,0.222,0.222,0.444,0.44,0.7425,0.01,0.204,-0.13
422,"황윤호","KIA",6,19,17,3,3,0,0,0,2,0,1,0,3,0,0.333,0.214,0.176,0.263,0.176,0.439,0.74,1.332,0.42,0.227,-0.13
1756,"안권수","두산",87,47,42,10,9,0,1,0,17,4,3,0,3,3,1,0.256,0.238,0.289,0.286,0.575,4.25,3.375,2.85,0.27,-0.15
220,"지석훈","NC",28,43,34,5,4,1,0,0,6,2,7,0,12,0,0.583,0.217,0.147,0.302,0.176,0.478,2.69,2.421,2.2,0.259,-0.15
870,"강경학","한화",12,26,22,3,3,0,0,0,1,0,4,0,10,1,0.4,0.25,0.136,0.269,0.136,0.405,1.23,1.747895,0.52,0.225,-0.15
674,"국해성","두산",4,8,8,1,1,0,0,0,0,0,0,0,2,0,0,0.167,0.125,0.125,0.125,0.25,0.13,0.501429,-0.65,0.115,-0.16
1874,"고명준","SSG",3,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-0.93,0,-0.16
1648,"이학주","삼성",66,174,155,32,20,8,0,4,17,20,14,0,61,1,0.23,0.311,0.206,0.276,0.335,0.611,14.12,2.888182,12.5,0.282,-0.17
1377,"최정용","KIA",53,65,52,10,9,1,0,0,7,2,9,0,16,2,0.563,0.27,0.192,0.306,0.212,0.518,4.63,2.659787,3.73,0.266,-0.17
827,"모창민","NC",3,6,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.167,0,0.167,0,0,-0.41,0.129,-0.17
33,"오선진","삼성",23,46,42,9,9,0,0,0,5,2,3,0,8,0,0.375,0.265,0.214,0.283,0.214,0.497,2.4,1.851429,1.85,0.247,-0.18
670,"민병헌","롯데",14,49,42,8,5,3,0,0,5,2,6,0,11,0,0.545,0.258,0.19,0.292,0.262,0.554,2.94,2.088947,3.04,0.271,-0.18
649,"박세혁","두산",96,270,237,52,40,12,0,0,25,30,22,0,43,4,0.512,0.264,0.219,0.296,0.27,0.566,20.23,2.744774,17.15,0.273,-0.19
1771,"조한민","한화",52,145,127,25,12,6,2,5,15,18,13,0,57,3,0.228,0.299,0.197,0.278,0.394,0.672,13.43,3.266757,12.76,0.3,-0.19
1851,"허관회","한화",28,79,63,12,12,0,0,0,4,2,13,0,22,0,0.591,0.279,0.19,0.329,0.19,0.519,5.47,2.735,5.31,0.277,-0.19
1879,"신준우","Hero",56,51,42,7,4,3,0,0,7,4,4,0,21,0,0.19,0.318,0.167,0.28,0.238,0.518,3.09,2.139231,2.57,0.258,-0.19
1588,"김호재","삼성",87,90,75,17,15,2,0,0,9,7,9,0,14,0,0.643,0.274,0.227,0.322,0.253,0.575,7.37,3.3165,6.76,0.286,-0.21
1928,"김민수","NC",7,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1.3,0,-0.21
1865,"힐리","한화",67,268,249,64,45,11,1,7,27,37,16,0,58,2,0.276,0.308,0.257,0.306,0.394,0.7,29.21,4.086373,27.37,0.315,-0.22
1944,"김규남","SSG",4,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-1.3,0,-0.22
1659,"신민재","LG",32,27,23,3,3,0,0,0,8,2,4,0,6,2,0.667,0.176,0.13,0.259,0.13,0.389,1.13,1.452857,0.33,0.217,-0.23
1969,"정민규","한화",6,17,16,2,1,1,0,0,1,0,1,0,6,0,0.167,0.2,0.125,0.176,0.188,0.364,0.38,0.684,-0.46,0.174,-0.23
1908,"이주찬","롯데",3,8,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-1.48,0,-0.23
119,"이성우","LG",36,39,33,7,7,0,0,0,0,2,1,0,8,0,0.125,0.28,0.212,0.235,0.212,0.447,1.77,1.493438,0.31,0.212,-0.24
1409,"도태훈","NC",77,76,66,12,10,1,0,1,10,9,6,0,14,1,0.429,0.216,0.182,0.289,0.242,0.531,4.78,2.264211,4.35,0.266,-0.24
120,"백용환","한화",36,95,81,12,7,1,0,4,10,4,9,0,24,0,0.375,0.151,0.148,0.258,0.309,0.567,6.14,2.2104,5.57,0.268,-0.24
1954,"송호정","한화",10,11,10,0,0,0,0,0,1,0,1,0,8,0,0.125,0,0,0.091,0,0.091,0.02,0.054,-1.33,0.07,-0.24
1482,"홍현빈","KT",43,12,11,2,2,0,0,0,8,0,0,0,8,0,0,0.667,0.182,0.182,0.182,0.364,0.21,0.515455,-0.4,0.167,-0.25
1878,"이주형","LG",14,19,16,2,2,0,0,0,3,0,1,0,7,2,0.143,0.222,0.125,0.222,0.125,0.347,0.64,1.08,-0.25,0.189,-0.25
1495,"강상원","한화",35,49,37,4,4,0,0,0,7,2,9,0,11,3,0.818,0.154,0.108,0.298,0.108,0.406,2.63,2.028857,1.79,0.243,-0.25
